ts,root_cpu,root_rss_kb,tree_cpu,tree_rss_kb,npids
1784452878.026,2631.6,140852,2874.5,150872,1
1784452878.561,228.0,221796,228.0,230540,1
1784452879.094,253.0,340344,245.5,343012,1
1784452879.626,203.0,412832,210.6,417508,1
1784452880.161,231.9,464632,224.5,464752,1
1784452880.694,234.5,454080,234.5,454356,1
1784452881.230,80.1,442980,78.3,442984,1
1784452881.766,14.9,422844,13.1,422120,1
1784452882.301,82.2,425964,82.2,425964,1
1784452882.839,81.7,426100,83.6,426152,1
1784452883.377,74.5,430380,76.3,430600,1
1784452883.914,83.8,449144,80.0,449144,1
1784452884.453,96.5,457668,96.5,457668,1
1784452884.990,11.2,451836,11.2,451836,1
1784452885.526,3.7,450552,5.6,450552,1
1784452886.062,3.7,450560,1.9,450560,1
1784452886.599,3.7,450548,3.7,450548,1
1784452887.137,0.0,450556,0.0,450556,1
1784452887.675,3.7,450548,3.7,450548,1
1784452888.213,0.0,450556,0.0,450556,1
1784452888.752,5.6,450548,5.6,450548,1
1784452889.289,55.8,452992,57.7,452992,1
1784452889.827,91.1,454920,93.0,455396,1
1784452890.367,20.4,454996,16.7,454976,1
1784452890.904,26.1,454168,26.1,454168,1
1784452891.441,0.0,454136,0.0,454136,1
1784452891.980,109.5,460012,113.2,460012,1
1784452892.519,83.6,462740,83.6,462740,1
1784452893.056,91.2,465992,91.2,465992,1
1784452893.593,76.4,466644,78.2,466660,1
1784452894.131,94.8,469380,89.2,469380,1
1784452894.669,11.2,467500,11.2,467500,1
1784452895.205,9.3,467644,13.0,468032,1
1784452895.743,46.5,468840,42.8,468840,1
1784452896.280,54.0,472100,57.7,472420,1
1784452896.817,39.1,473320,35.4,473320,1
1784452897.355,74.3,477688,74.3,477688,1
1784452897.892,5.6,475580,5.6,475580,1
1784452898.429,0.0,475216,0.0,475216,1
1784452898.967,52.0,480980,57.6,481004,1
1784452899.505,115.2,485208,111.5,485508,1
1784452900.043,109.6,503296,113.3,502540,1
1784452900.580,160.1,488948,154.5,488948,1
1784452901.117,65.2,443004,65.2,443004,1
1784452901.654,72.7,442308,72.7,442308,1
1784452902.191,74.4,443952,74.4,444224,1
1784452902.727,52.3,444632,52.3,444632,1
1784452903.265,31.6,446128,31.6,446128,1
1784452903.803,61.3,448128,66.9,448108,1
1784452904.342,85.5,451672,85.5,451672,1
1784452904.879,9.3,450992,3.7,450992,1
1784452905.415,1.9,449972,1.9,449972,1
1784452905.954,3.7,449964,3.7,449964,1
1784452906.489,7.5,451440,13.1,451456,1
1784452907.024,119.5,457464,117.7,457936,1
1784452907.562,80.0,458964,76.2,458964,1
1784452908.098,57.8,461676,61.5,461952,1
1784452908.636,59.5,462696,55.8,462176,1
1784452909.174,89.2,466060,92.9,466060,1
1784452909.712,100.4,467880,100.4,468240,1
1784452910.251,87.2,470396,87.2,470380,1
1784452910.788,85.6,472428,83.7,472428,1
1784452911.324,63.4,473992,65.3,473992,1
1784452911.859,89.7,476380,91.5,476296,1
1784452912.396,54.1,477428,48.5,477428,1
1784452912.934,141.2,478656,141.2,479172,1
1784452913.470,41.0,439596,41.0,439596,1
1784452914.011,79.6,442184,83.3,442184,1
1784452914.547,80.1,444648,78.3,444904,1
1784452915.084,78.2,448308,82.0,448540,1
1784452915.622,80.0,450472,78.1,450496,1
1784452916.159,96.8,452740,96.8,453032,1
1784452916.695,80.2,454532,76.5,454336,1
1784452917.232,7.4,453980,7.4,453980,1
1784452917.771,3.7,453972,3.7,453972,1
1784452918.308,0.0,453968,0.0,453968,1
1784452918.846,68.7,458468,72.5,458812,1
1784452919.384,72.5,461248,72.5,461256,1
1784452919.924,85.2,463556,85.2,463556,1
1784452920.461,68.9,464916,67.0,464916,1
1784452920.998,65.2,467000,65.2,467000,1
1784452921.534,55.9,467740,55.9,467740,1
1784452922.072,1.9,467732,0.0,467732,1
1784452922.610,79.9,472028,83.6,472288,1
1784452923.145,86.0,474052,84.1,474052,1
1784452923.681,44.8,474872,42.9,474872,1
1784452924.218,87.5,477796,87.5,477796,1
1784452924.757,9.3,477696,9.3,478296,1
1784452925.293,164.0,443732,167.8,443988,1
1784452925.829,87.7,443696,84.0,443696,1
1784452926.368,92.8,447396,94.7,447392,1
1784452926.906,87.3,448784,91.0,448784,1
1784452927.444,14.9,447900,11.2,448532,1
1784452927.980,48.5,449588,46.6,449580,1
1784452928.518,0.0,449572,3.7,449572,1
1784452929.055,104.1,454336,100.4,454336,1
1784452929.593,72.5,456252,72.5,456252,1
1784452930.131,7.4,456072,7.4,456072,1
1784452930.671,3.7,456384,5.6,456944,1
1784452931.209,115.2,462324,113.3,462400,1
1784452931.747,78.1,464736,79.9,464736,1
1784452932.285,78.1,466928,80.0,466928,1
1784452932.823,61.4,467980,57.7,467980,1
1784452933.359,39.1,469964,44.7,470552,1
1784452933.897,27.9,470516,22.3,470516,1
1784452934.434,68.9,473996,72.6,473996,1
1784452934.977,167.6,474652,169.5,475884,1
1784452935.516,24.1,439784,20.4,439484,1
1784452936.053,96.8,442340,100.5,443148,1
1784452936.591,89.4,444440,87.5,444440,1
1784452937.128,74.4,445624,70.7,445704,1
1784452937.667,81.7,447696,83.6,447700,1
1784452938.205,85.5,450348,89.2,450348,1
1784452938.743,92.9,453500,89.2,453556,1
1784452939.280,89.5,455992,87.6,456032,1
1784452939.815,95.2,459852,98.9,459872,1
1784452940.354,66.9,460580,63.1,460128,1
1784452940.890,65.3,461188,67.2,461464,1
1784452941.427,85.6,463432,83.7,463732,1
1784452941.966,70.6,465672,72.4,465672,1
1784452942.503,68.9,467464,67.0,467464,1
1784452943.042,33.4,468476,33.4,468476,1
1784452943.579,3.7,468476,3.7,468476,1
1784452944.118,14.9,468908,14.9,468908,1
1784452944.656,98.4,474608,102.1,474608,1
1784452945.193,57.7,475580,54.0,475580,1
1784452945.731,3.7,475564,3.7,475564,1
1784452946.272,175.4,477276,175.4,477276,1
1784452946.808,67.2,442084,67.2,441564,1
1784452947.347,55.7,442100,59.4,442100,1
1784452947.884,74.4,443468,70.7,443468,1
1784452948.420,57.8,445432,57.8,445116,1
1784452948.957,54.0,446804,55.9,447076,1
1784452949.494,35.4,447328,33.5,447328,1
1784452950.030,82.2,452532,85.9,452532,1
1784452950.568,37.2,451932,33.5,451932,1
1784452951.105,70.7,454752,70.7,454752,1
1784452951.643,54.0,456728,55.8,456728,1
1784452952.178,71.0,459196,72.8,459196,1
1784452952.715,85.8,461752,85.8,462032,1
1784452953.250,76.5,463124,72.8,463124,1
1784452953.789,77.9,465692,81.6,465692,1
1784452954.327,74.3,467956,76.2,467956,1
1784452954.863,72.8,469356,67.2,469680,1
1784452955.400,61.5,470968,63.3,470968,1
1784452955.937,65.1,472612,67.0,472892,1
1784452956.475,66.9,475056,66.9,475056,1
1784452957.013,40.9,475172,37.2,475172,1
1784452957.550,1.9,475164,1.9,475164,1
1784452958.088,141.3,475456,145.0,475456,1
1784452958.626,40.9,440152,37.2,440152,1
1784452959.164,0.0,440004,0.0,440004,1
1784452959.701,13.0,440016,13.0,440016,1
1784452960.239,0.0,440008,0.0,440008,1
1784452960.775,57.9,445896,63.5,446160,1
1784452961.311,80.1,448008,78.2,448008,1
1784452961.849,78.1,449856,78.1,449856,1
1784452962.388,94.7,452528,91.0,452528,1
1784452962.924,74.7,454768,76.5,455048,1
1784452963.459,91.5,457764,91.5,457764,1
1784452963.997,39.1,458744,37.2,458744,1
1784452964.535,11.1,458600,11.1,458600,1
1784452965.072,33.6,462196,33.6,462196,1
1784452965.609,3.7,460656,3.7,460656,1
1784452966.147,16.7,459380,16.7,459380,1
1784452966.685,3.7,459376,3.7,459376,1
1784452967.221,1.9,459376,1.9,459376,1
1784452967.759,3.7,459376,3.7,459376,1
1784452968.294,0.0,459216,0.0,459216,1
1784452968.830,3.7,459220,3.7,459220,1
1784452969.368,0.0,459240,0.0,459260,1
1784452969.905,9.3,459240,11.2,459240,1
1784452970.443,3.7,459232,1.9,459232,1
1784452970.979,1.9,459240,1.9,459240,1
1784452971.520,0.0,459232,5.6,459232,1
1784452972.055,5.6,459240,0.0,459240,1
1784452972.591,3.7,459232,3.7,459232,1
1784452973.129,0.0,459240,0.0,459240,1
1784452973.667,3.7,459232,3.7,459232,1
1784452974.204,0.0,459240,0.0,459240,1
1784452974.740,3.7,459232,3.7,459232,1
1784452975.276,0.0,459180,0.0,459180,1
1784452975.813,3.7,459180,3.7,459164,1
1784452976.351,1.9,458748,1.9,458748,1
1784452976.887,3.7,458748,3.7,458748,1
1784452977.425,0.0,458748,0.0,458748,1
1784452977.962,5.6,458748,5.6,458748,1
1784452978.500,0.0,458748,0.0,458748,1
1784452979.037,3.7,458756,3.7,458756,1
1784452979.574,3.7,458756,3.7,458756,1
1784452980.117,5.5,458756,5.5,458756,1
1784452980.654,3.7,458748,3.7,458748,1
1784452981.190,1.9,458720,1.9,458720,1
1784452981.727,3.7,458728,3.7,458728,1
1784452982.263,0.0,458736,0.0,458736,1
1784452982.801,3.7,458732,3.7,458732,1
1784452983.340,74.2,464596,74.2,464596,1
1784452983.878,3.7,461896,3.7,461896,1
1784452984.416,44.6,463696,44.6,463696,1
1784452984.988,36.7,465360,43.7,492216,3
1784452985.574,37.6,465148,88.8,604864,4
1784452986.111,68.8,466488,9.3,466336,1
1784452986.648,11.2,465584,7.5,465584,1
1784452987.185,0.0,465324,0.0,465324,1
1784452987.721,3.7,465316,3.7,465316,1
1784452988.257,33.6,466540,33.6,466540,1
1784452988.794,98.7,464052,98.7,464052,1
1784452989.378,30.8,445304,51.4,480088,4
1784452989.991,22.8,441140,62.0,608236,6
1784452990.605,14.6,439864,185.5,732324,6
1784452991.197,1.7,439844,-97.9,658188,5
1784452991.788,5.1,439848,-67.7,576264,5
1784452992.323,56.0,441612,-16.8,441612,1
1784452992.861,11.2,441460,11.2,441460,1
1784452993.399,0.0,441296,0.0,441296,1
1784452993.936,3.7,441064,3.7,441064,1
1784452994.474,0.0,441076,0.0,441076,1
1784452995.012,26.0,443156,26.0,443156,1
1784452995.549,70.7,446884,70.7,446884,1
1784452996.084,7.5,443980,7.5,443980,1
1784452996.619,5.6,443688,5.6,443688,1
1784452997.156,0.0,443684,0.0,443684,1
1784452997.691,63.5,447336,63.5,447336,1
1784452998.230,7.4,445832,7.4,445840,1
1784452998.767,3.7,445716,3.7,445716,1
1784452999.305,0.0,445720,0.0,445724,1
1784452999.842,55.9,446944,55.9,446944,1
1784453000.379,1.9,446600,1.9,446600,1
1784453000.914,1.9,446588,1.9,446588,1
1784453001.451,0.0,446596,0.0,446596,1
1784453001.987,84.0,451500,84.0,452704,1
1784453002.524,37.2,451960,42.8,452852,1
1784453003.061,89.3,468448,87.4,468448,1
1784453003.600,57.5,455964,53.8,455964,1
1784453004.141,49.9,458472,49.9,458472,1
1784453004.677,11.2,457636,13.1,457632,1
1784453005.213,35.4,459068,33.6,459068,1
1784453005.750,3.7,458532,3.7,458532,1
1784453006.286,80.1,461736,85.7,461728,1
1784453006.823,91.3,464948,91.3,464948,1
1784453007.358,89.7,466396,86.0,467044,1
1784453007.894,59.6,467732,59.6,467728,1
1784453008.432,5.6,467728,3.7,467728,1
1784453008.970,68.8,472700,72.5,472700,1
1784453009.508,13.0,471492,11.2,470908,1
1784453010.046,31.6,470900,29.8,470900,1
1784453010.584,55.8,472424,61.3,472724,1
1784453011.121,44.6,473164,39.1,473164,1
1784453011.658,42.9,475888,46.6,475888,1
1784453012.195,14.9,474776,11.2,474776,1
1784453012.733,3.7,474220,3.7,474216,1
1784453013.271,81.8,476832,81.8,477136,1
1784453013.808,91.2,479444,95.0,479444,1
1784453014.346,44.6,480476,40.9,480764,1
1784453014.884,91.0,483748,91.0,483748,1
1784453015.419,93.5,486272,97.2,486272,1
1784453015.957,20.5,486364,16.7,486364,1
1784453016.495,66.9,489004,70.6,489004,1
1784453017.034,63.1,490664,59.4,490664,1
1784453017.570,48.5,491732,48.5,491732,1
1784453018.108,0.0,491484,0.0,491484,1
1784453018.646,3.7,491492,3.7,491492,1
1784453019.184,0.0,491484,0.0,491796,1
1784453019.722,27.9,491684,27.9,491684,1
1784453020.259,66.9,495112,72.5,495116,1
1784453020.796,11.2,493724,7.5,493724,1
1784453021.334,1.9,493648,0.0,493648,1
1784453021.870,3.7,493652,3.7,493652,1
1784453022.408,0.0,493648,0.0,493648,1
1784453022.947,3.7,493644,3.7,493644,1
1784453023.485,1.9,493644,1.9,493644,1
1784453024.022,1.9,493644,1.9,493644,1
1784453024.559,5.6,493652,5.6,493652,1
1784453025.097,0.0,493644,0.0,493644,1
1784453025.636,48.3,500260,48.3,500260,1
1784453026.173,0.0,495112,0.0,495112,1
1784453026.710,3.7,495104,3.7,495104,1
1784453027.248,29.8,505416,35.3,506100,1
1784453027.786,29.7,497872,24.1,497872,1
1784453028.323,1.9,496760,1.9,496760,1
1784453028.859,1.9,496756,1.9,496756,1
1784453029.396,3.7,496776,3.7,496776,1
1784453029.934,9.3,496728,9.3,496720,1
1784453030.470,0.0,496644,0.0,496644,1
1784453031.008,3.7,496644,3.7,496644,1
1784453031.546,5.6,496644,5.6,496644,1
1784453032.084,0.0,496644,0.0,496644,1
1784453032.621,18.6,498560,22.3,499520,1
1784453033.160,33.4,499520,29.7,499500,1
1784453033.700,3.7,497628,3.7,497628,1
1784453034.254,5.4,499832,14.4,502672,2
1784453034.791,57.8,500864,48.5,500864,1
1784453035.328,3.7,499412,3.7,499412,1
1784453035.865,9.3,499280,9.3,499280,1
1784453036.403,0.0,499256,0.0,499256,1
1784453036.943,3.7,499264,3.7,499264,1
1784453037.481,0.0,499256,0.0,499256,1
1784453038.019,5.6,499264,5.6,499264,1
1784453038.556,5.6,499256,5.6,499256,1
1784453039.093,0.0,499264,0.0,499256,1
1784453039.631,13.0,499308,13.0,499308,1
1784453040.168,106.2,496240,106.2,496240,1
1784453040.705,65.2,457464,67.1,453820,1
1784453041.241,39.2,448896,41.0,449712,1
1784453041.777,67.1,451460,65.3,451460,1
1784453042.314,26.1,450704,24.2,450704,1
1784453042.851,48.4,453020,48.4,453020,1
1784453043.390,94.7,457836,96.6,458232,1
1784453043.928,65.0,458668,66.9,458668,1
1784453044.467,81.6,461576,81.6,461684,1
1784453045.006,83.5,463284,79.8,463352,1
1784453045.542,83.9,465180,85.8,465180,1
1784453046.079,59.6,466184,57.7,466184,1
1784453046.616,1.9,466160,1.9,466160,1
1784453047.154,46.5,469548,52.0,469536,1
1784453047.691,74.5,471400,68.9,471400,1
1784453048.226,33.7,472292,33.7,472292,1
1784453048.759,3.7,472136,3.7,472136,1
1784453049.293,86.2,491096,89.9,491096,1
1784453049.829,78.4,482012,74.6,482012,1
1784453050.363,168.6,570840,177.9,577916,1
